Year,Month,Period,Value
2008,Jan,M01,66.2
2008,Feb,M02,66.0
2008,Mar,M03,66.1
2008,Apr,M04,65.9
2008,May,M05,66.1
2008,Jun,M06,66.1
2008,Jul,M07,66.1
2008,Aug,M08,66.1
2008,Sep,M09,66.0
2008,Oct,M10,66.0
2008,Nov,M11,65.9
2008,Dec,M12,65.8
2009,Jan,M01,65.7
2009,Feb,M02,65.8
2009,Mar,M03,65.6
2009,Apr,M04,65.7
2009,May,M05,65.7
2009,Jun,M06,65.7
2009,Jul,M07,65.5
2009,Aug,M08,65.4
2009,Sep,M09,65.1
2009,Oct,M10,65.0
2009,Nov,M11,65.0
2009,Dec,M12,64.6
2010,Jan,M01,64.8
2010,Feb,M02,64.9
2010,Mar,M03,64.9
2010,Apr,M04,65.2
2010,May,M05,64.9
2010,Jun,M06,64.6
2010,Jul,M07,64.6
2010,Aug,M08,64.7
2010,Sep,M09,64.6
2010,Oct,M10,64.4
2010,Nov,M11,64.6
2010,Dec,M12,64.3
2011,Jan,M01,64.2
2011,Feb,M02,64.1
2011,Mar,M03,64.2
2011,Apr,M04,64.2
2011,May,M05,64.1
2011,Jun,M06,64.0
2011,Jul,M07,64.0
2011,Aug,M08,64.1
2011,Sep,M09,64.2
2011,Oct,M10,64.1
2011,Nov,M11,64.1
2011,Dec,M12,64.0
2012,Jan,M01,63.7
2012,Feb,M02,63.8
2012,Mar,M03,63.8
2012,Apr,M04,63.7
2012,May,M05,63.7
2012,Jun,M06,63.8
2012,Jul,M07,63.7
2012,Aug,M08,63.5
2012,Sep,M09,63.6
2012,Oct,M10,63.8
2012,Nov,M11,63.6
2012,Dec,M12,63.7
2013,Jan,M01,63.7
2013,Feb,M02,63.4
2013,Mar,M03,63.3
2013,Apr,M04,63.4
2013,May,M05,63.4
2013,Jun,M06,63.4
2013,Jul,M07,63.3
2013,Aug,M08,63.3
2013,Sep,M09,63.2
2013,Oct,M10,62.8
2013,Nov,M11,63.0
2013,Dec,M12,62.9
2014,Jan,M01,62.9
2014,Feb,M02,62.9
2014,Mar,M03,63.1
2014,Apr,M04,62.8
2014,May,M05,62.9
2014,Jun,M06,62.8
2014,Jul,M07,62.9
2014,Aug,M08,62.9
2014,Sep,M09,62.8
2014,Oct,M10,62.9
2014,Nov,M11,62.9
2014,Dec,M12,62.8
2015,Jan,M01,62.9
2015,Feb,M02,62.7
2015,Mar,M03,62.6
2015,Apr,M04,62.8
2015,May,M05,62.9
2015,Jun,M06,62.7
2015,Jul,M07,62.6
2015,Aug,M08,62.6
2015,Sep,M09,62.4
2015,Oct,M10,62.5
2015,Nov,M11,62.5
2015,Dec,M12,62.7
2016,Jan,M01,62.7
2016,Feb,M02,62.8
2016,Mar,M03,63.0
2016,Apr,M04,62.9
2016,May,M05,62.7
2016,Jun,M06,62.7
2016,Jul,M07,62.8
2016,Aug,M08,62.9
2016,Sep,M09,62.9
2016,Oct,M10,62.8
2016,Nov,M11,62.7
2016,Dec,M12,62.7
2017,Jan,M01,62.8
2017,Feb,M02,62.9
2017,Mar,M03,62.9
2017,Apr,M04,63.0
2017,May,M05,62.8
2017,Jun,M06,62.8
2017,Jul,M07,62.9
2017,Aug,M08,62.9
2017,Sep,M09,63.1
2017,Oct,M10,62.7
2017,Nov,M11,62.7
2017,Dec,M12,62.7
2018,Jan,M01,62.7
2018,Feb,M02,63.0
2018,Mar,M03,62.9
2018,Apr,M04,62.9
2018,May,M05,62.9
2018,Jun,M06,63.0
2018,Jul,M07,63.0
2018,Aug,M08,62.6
2018,Sep,M09,62.8
2018,Oct,M10,62.9
2018,Nov,M11,62.9
2018,Dec,M12,63.0
2019,Jan,M01,63.1
2019,Feb,M02,63.1
2019,Mar,M03,63.0
2019,Apr,M04,62.9
2019,May,M05,62.9
2019,Jun,M06,63.0
2019,Jul,M07,63.1
2019,Aug,M08,63.1
2019,Sep,M09,63.2
2019,Oct,M10,63.3
2019,Nov,M11,63.3
2019,Dec,M12,63.3
2020,Jan,M01,63.3
2020,Feb,M02,63.3
2020,Mar,M03,62.6
2020,Apr,M04,60.1
2020,May,M05,60.8
2020,Jun,M06,61.5
2020,Jul,M07,61.5
2020,Aug,M08,61.7
2020,Sep,M09,61.4
2020,Oct,M10,61.7
2020,Nov,M11,61.5
2020,Dec,M12,61.5
2021,Jan,M01,61.3
2021,Feb,M02,61.4
2021,Mar,M03,61.5
2021,Apr,M04,61.6
2021,May,M05,61.5
2021,Jun,M06,61.7
2021,Jul,M07,61.8
2021,Aug,M08,61.7
2021,Sep,M09,61.7
2021,Oct,M10,61.8
2021,Nov,M11,61.9
2021,Dec,M12,62.0
2022,Jan,M01,62.2
2022,Feb,M02,62.2
2022,Mar,M03,62.4
2022,Apr,M04,62.2
2022,May,M05,62.3
2022,Jun,M06,62.2
2022,Jul,M07,62.1
2022,Aug,M08,62.3
2022,Sep,M09,62.3
2022,Oct,M10,62.2
2022,Nov,M11,62.2
2022,Dec,M12,62.3
2023,Jan,M01,62.4
2023,Feb,M02,62.5
2023,Mar,M03,62.6
2023,Apr,M04,62.6
2023,May,M05,62.6
2023,Jun,M06,62.6
2023,Jul,M07,62.6
2023,Aug,M08,62.8
2023,Sep,M09,62.8
