Year,Month,Period,Value
2008,Jan,M01,83.3
2008,Feb,M02,83.2
2008,Mar,M03,83.3
2008,Apr,M04,83.1
2008,May,M05,83.1
2008,Jun,M06,83.1
2008,Jul,M07,83.1
2008,Aug,M08,83.2
2008,Sep,M09,83.1
2008,Oct,M10,83.0
2008,Nov,M11,83.0
2008,Dec,M12,82.8
2009,Jan,M01,82.8
2009,Feb,M02,82.8
2009,Mar,M03,82.6
2009,Apr,M04,82.8
2009,May,M05,82.9
2009,Jun,M06,82.9
2009,Jul,M07,82.8
2009,Aug,M08,82.8
2009,Sep,M09,82.5
2009,Oct,M10,82.5
2009,Nov,M11,82.4
2009,Dec,M12,82.0
2010,Jan,M01,82.4
2010,Feb,M02,82.3
2010,Mar,M03,82.4
2010,Apr,M04,82.6
2010,May,M05,82.3
2010,Jun,M06,82.2
2010,Jul,M07,81.9
2010,Aug,M08,82.0
2010,Sep,M09,82.0
2010,Oct,M10,81.8
2010,Nov,M11,82.0
2010,Dec,M12,81.9
2011,Jan,M01,81.7
2011,Feb,M02,81.6
2011,Mar,M03,81.7
2011,Apr,M04,81.7
2011,May,M05,81.7
2011,Jun,M06,81.7
2011,Jul,M07,81.4
2011,Aug,M08,81.6
2011,Sep,M09,81.5
2011,Oct,M10,81.3
2011,Nov,M11,81.5
2011,Dec,M12,81.6
2012,Jan,M01,81.5
2012,Feb,M02,81.5
2012,Mar,M03,81.5
2012,Apr,M04,81.4
2012,May,M05,81.4
2012,Jun,M06,81.5
2012,Jul,M07,81.4
2012,Aug,M08,81.4
2012,Sep,M09,81.5
2012,Oct,M10,81.6
2012,Nov,M11,81.2
2012,Dec,M12,81.4
2013,Jan,M01,81.1
2013,Feb,M02,81.0
2013,Mar,M03,81.0
2013,Apr,M04,81.0
2013,May,M05,81.2
2013,Jun,M06,81.2
2013,Jul,M07,81.2
2013,Aug,M08,81.0
2013,Sep,M09,81.0
2013,Oct,M10,80.6
2013,Nov,M11,81.0
2013,Dec,M12,80.8
2014,Jan,M01,80.9
2014,Feb,M02,81.1
2014,Mar,M03,81.1
2014,Apr,M04,80.8
2014,May,M05,80.7
2014,Jun,M06,81.0
2014,Jul,M07,80.8
2014,Aug,M08,81.1
2014,Sep,M09,80.8
2014,Oct,M10,80.9
2014,Nov,M11,80.9
2014,Dec,M12,80.9
2015,Jan,M01,81.0
2015,Feb,M02,80.9
2015,Mar,M03,80.8
2015,Apr,M04,81.0
2015,May,M05,81.1
2015,Jun,M06,80.9
2015,Jul,M07,80.7
2015,Aug,M08,80.7
2015,Sep,M09,80.6
2015,Oct,M10,80.8
2015,Nov,M11,80.9
2015,Dec,M12,80.9
2016,Jan,M01,81.1
2016,Feb,M02,81.1
2016,Mar,M03,81.3
2016,Apr,M04,81.2
2016,May,M05,81.2
2016,Jun,M06,81.3
2016,Jul,M07,81.3
2016,Aug,M08,81.4
2016,Sep,M09,81.5
2016,Oct,M10,81.5
2016,Nov,M11,81.4
2016,Dec,M12,81.3
2017,Jan,M01,81.5
2017,Feb,M02,81.6
2017,Mar,M03,81.6
2017,Apr,M04,81.7
2017,May,M05,81.7
2017,Jun,M06,81.6
2017,Jul,M07,81.8
2017,Aug,M08,81.6
2017,Sep,M09,81.9
2017,Oct,M10,81.6
2017,Nov,M11,81.7
2017,Dec,M12,81.8
2018,Jan,M01,81.7
2018,Feb,M02,82.1
2018,Mar,M03,82.0
2018,Apr,M04,82.0
2018,May,M05,81.9
2018,Jun,M06,82.1
2018,Jul,M07,82.1
2018,Aug,M08,81.9
2018,Sep,M09,81.9
2018,Oct,M10,82.3
2018,Nov,M11,82.2
2018,Dec,M12,82.3
2019,Jan,M01,82.5
2019,Feb,M02,82.5
2019,Mar,M03,82.5
2019,Apr,M04,82.3
2019,May,M05,82.2
2019,Jun,M06,82.2
2019,Jul,M07,82.1
2019,Aug,M08,82.5
2019,Sep,M09,82.7
2019,Oct,M10,82.8
2019,Nov,M11,82.8
2019,Dec,M12,82.9
2020,Jan,M01,83.1
2020,Feb,M02,83.0
2020,Mar,M03,82.5
2020,Apr,M04,79.9
2020,May,M05,80.6
2020,Jun,M06,81.5
2020,Jul,M07,81.2
2020,Aug,M08,81.3
2020,Sep,M09,80.9
2020,Oct,M10,81.2
2020,Nov,M11,80.9
2020,Dec,M12,81.0
2021,Jan,M01,81.1
2021,Feb,M02,81.2
2021,Mar,M03,81.3
2021,Apr,M04,81.4
2021,May,M05,81.3
2021,Jun,M06,81.7
2021,Jul,M07,81.9
2021,Aug,M08,81.7
2021,Sep,M09,81.6
2021,Oct,M10,81.7
2021,Nov,M11,81.9
2021,Dec,M12,81.9
2022,Jan,M01,82.1
2022,Feb,M02,82.3
2022,Mar,M03,82.5
2022,Apr,M04,82.5
2022,May,M05,82.6
2022,Jun,M06,82.4
2022,Jul,M07,82.4
2022,Aug,M08,82.8
2022,Sep,M09,82.6
2022,Oct,M10,82.5
2022,Nov,M11,82.3
2022,Dec,M12,82.4
2023,Jan,M01,82.7
2023,Feb,M02,83.1
2023,Mar,M03,83.1
2023,Apr,M04,83.3
2023,May,M05,83.4
2023,Jun,M06,83.5
2023,Jul,M07,83.4
2023,Aug,M08,83.5
2023,Sep,M09,83.5
