+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS11300060 | 2017 |  M12   |  81.8 |           |
| LNS11300060 | 2017 |  M11   |  81.7 |           |
| LNS11300060 | 2017 |  M10   |  81.6 |           |
| LNS11300060 | 2017 |  M09   |  81.9 |           |
| LNS11300060 | 2017 |  M08   |  81.6 |           |
| LNS11300060 | 2017 |  M07   |  81.8 |           |
| LNS11300060 | 2017 |  M06   |  81.6 |           |
| LNS11300060 | 2017 |  M05   |  81.7 |           |
| LNS11300060 | 2017 |  M04   |  81.7 |           |
| LNS11300060 | 2017 |  M03   |  81.6 |           |
| LNS11300060 | 2017 |  M02   |  81.6 |           |
| LNS11300060 | 2017 |  M01   |  81.5 |           |
| LNS11300060 | 2016 |  M12   |  81.3 |           |
| LNS11300060 | 2016 |  M11   |  81.4 |           |
| LNS11300060 | 2016 |  M10   |  81.5 |           |
| LNS11300060 | 2016 |  M09   |  81.5 |           |
| LNS11300060 | 2016 |  M08   |  81.4 |           |
| LNS11300060 | 2016 |  M07   |  81.3 |           |
| LNS11300060 | 2016 |  M06   |  81.3 |           |
| LNS11300060 | 2016 |  M05   |  81.2 |           |
| LNS11300060 | 2016 |  M04   |  81.2 |           |
| LNS11300060 | 2016 |  M03   |  81.3 |           |
| LNS11300060 | 2016 |  M02   |  81.1 |           |
| LNS11300060 | 2016 |  M01   |  81.1 |           |
| LNS11300060 | 2015 |  M12   |  80.9 |           |
| LNS11300060 | 2015 |  M11   |  80.9 |           |
| LNS11300060 | 2015 |  M10   |  80.8 |           |
| LNS11300060 | 2015 |  M09   |  80.6 |           |
| LNS11300060 | 2015 |  M08   |  80.7 |           |
| LNS11300060 | 2015 |  M07   |  80.7 |           |
| LNS11300060 | 2015 |  M06   |  80.9 |           |
| LNS11300060 | 2015 |  M05   |  81.1 |           |
| LNS11300060 | 2015 |  M04   |  81.0 |           |
| LNS11300060 | 2015 |  M03   |  80.8 |           |
| LNS11300060 | 2015 |  M02   |  80.9 |           |
| LNS11300060 | 2015 |  M01   |  81.0 |           |
| LNS11300060 | 2014 |  M12   |  80.9 |           |
| LNS11300060 | 2014 |  M11   |  80.9 |           |
| LNS11300060 | 2014 |  M10   |  80.9 |           |
| LNS11300060 | 2014 |  M09   |  80.8 |           |
| LNS11300060 | 2014 |  M08   |  81.1 |           |
| LNS11300060 | 2014 |  M07   |  80.8 |           |
| LNS11300060 | 2014 |  M06   |  81.0 |           |
| LNS11300060 | 2014 |  M05   |  80.7 |           |
| LNS11300060 | 2014 |  M04   |  80.8 |           |
| LNS11300060 | 2014 |  M03   |  81.1 |           |
| LNS11300060 | 2014 |  M02   |  81.1 |           |
| LNS11300060 | 2014 |  M01   |  80.9 |           |
| LNS11300060 | 2013 |  M12   |  80.8 |           |
| LNS11300060 | 2013 |  M11   |  81.0 |           |
| LNS11300060 | 2013 |  M10   |  80.6 |           |
| LNS11300060 | 2013 |  M09   |  81.0 |           |
| LNS11300060 | 2013 |  M08   |  81.0 |           |
| LNS11300060 | 2013 |  M07   |  81.2 |           |
| LNS11300060 | 2013 |  M06   |  81.2 |           |
| LNS11300060 | 2013 |  M05   |  81.2 |           |
| LNS11300060 | 2013 |  M04   |  81.0 |           |
| LNS11300060 | 2013 |  M03   |  81.0 |           |
| LNS11300060 | 2013 |  M02   |  81.0 |           |
| LNS11300060 | 2013 |  M01   |  81.1 |           |
| LNS11300060 | 2012 |  M12   |  81.4 |           |
| LNS11300060 | 2012 |  M11   |  81.2 |           |
| LNS11300060 | 2012 |  M10   |  81.6 |           |
| LNS11300060 | 2012 |  M09   |  81.5 |           |
| LNS11300060 | 2012 |  M08   |  81.4 |           |
| LNS11300060 | 2012 |  M07   |  81.4 |           |
| LNS11300060 | 2012 |  M06   |  81.5 |           |
| LNS11300060 | 2012 |  M05   |  81.4 |           |
| LNS11300060 | 2012 |  M04   |  81.4 |           |
| LNS11300060 | 2012 |  M03   |  81.5 |           |
| LNS11300060 | 2012 |  M02   |  81.5 |           |
| LNS11300060 | 2012 |  M01   |  81.5 |           |
| LNS11300060 | 2011 |  M12   |  81.6 |           |
| LNS11300060 | 2011 |  M11   |  81.5 |           |
| LNS11300060 | 2011 |  M10   |  81.3 |           |
| LNS11300060 | 2011 |  M09   |  81.5 |           |
| LNS11300060 | 2011 |  M08   |  81.6 |           |
| LNS11300060 | 2011 |  M07   |  81.4 |           |
| LNS11300060 | 2011 |  M06   |  81.7 |           |
| LNS11300060 | 2011 |  M05   |  81.7 |           |
| LNS11300060 | 2011 |  M04   |  81.7 |           |
| LNS11300060 | 2011 |  M03   |  81.7 |           |
| LNS11300060 | 2011 |  M02   |  81.6 |           |
| LNS11300060 | 2011 |  M01   |  81.7 |           |
| LNS11300060 | 2010 |  M12   |  81.9 |           |
| LNS11300060 | 2010 |  M11   |  82.0 |           |
| LNS11300060 | 2010 |  M10   |  81.8 |           |
| LNS11300060 | 2010 |  M09   |  82.0 |           |
| LNS11300060 | 2010 |  M08   |  82.0 |           |
| LNS11300060 | 2010 |  M07   |  81.9 |           |
| LNS11300060 | 2010 |  M06   |  82.2 |           |
| LNS11300060 | 2010 |  M05   |  82.3 |           |
| LNS11300060 | 2010 |  M04   |  82.6 |           |
| LNS11300060 | 2010 |  M03   |  82.4 |           |
| LNS11300060 | 2010 |  M02   |  82.3 |           |
| LNS11300060 | 2010 |  M01   |  82.4 |           |
| LNS11300060 | 2009 |  M12   |  82.0 |           |
| LNS11300060 | 2009 |  M11   |  82.4 |           |
| LNS11300060 | 2009 |  M10   |  82.5 |           |
| LNS11300060 | 2009 |  M09   |  82.5 |           |
| LNS11300060 | 2009 |  M08   |  82.8 |           |
| LNS11300060 | 2009 |  M07   |  82.8 |           |
| LNS11300060 | 2009 |  M06   |  82.9 |           |
| LNS11300060 | 2009 |  M05   |  82.9 |           |
| LNS11300060 | 2009 |  M04   |  82.8 |           |
| LNS11300060 | 2009 |  M03   |  82.6 |           |
| LNS11300060 | 2009 |  M02   |  82.8 |           |
| LNS11300060 | 2009 |  M01   |  82.8 |           |
| LNS11300060 | 2008 |  M12   |  82.8 |           |
| LNS11300060 | 2008 |  M11   |  83.0 |           |
| LNS11300060 | 2008 |  M10   |  83.0 |           |
| LNS11300060 | 2008 |  M09   |  83.1 |           |
| LNS11300060 | 2008 |  M08   |  83.2 |           |
| LNS11300060 | 2008 |  M07   |  83.1 |           |
| LNS11300060 | 2008 |  M06   |  83.1 |           |
| LNS11300060 | 2008 |  M05   |  83.1 |           |
| LNS11300060 | 2008 |  M04   |  83.1 |           |
| LNS11300060 | 2008 |  M03   |  83.3 |           |
| LNS11300060 | 2008 |  M02   |  83.2 |           |
| LNS11300060 | 2008 |  M01   |  83.3 |           |
+-------------+------+--------+-------+-----------+
